대학코드	모집정원	학과코드	학과명	수시 경쟁률	정시 경쟁률
0000048	96	0009052	의예과	110.43 : 1	2.46 : 1
0000048	53	0010148	간호학과	29.77 : 1	0 : 1
0000048	16	U000979	간호학과(인문)	0 : 1	5.88 : 1
0000048	16	U000981	간호학과(자연)	0 : 1	3.75 : 1
0000049	54	0016057	신학과	0.42 : 1	0.76 : 1
0000050	174	0016727	신학부	0.65 : 1	0.62 : 1
0000079	20	0219958	신학과	2.33 : 1	2.63 : 1
0000079	61	0226210	G2빅데이터경영학과	4.31 : 1	7.05 : 1
0000079	63	0219925	사회복지학과	4 : 1	6.33 : 1
0000079	30	0219910	상담심리학과	4.1 : 1	3.45 : 1
0000079	30	0219959	식품영양학과	9.25 : 1	4.33 : 1
0000079	44	0219961	간호학과	13.76 : 1	5.26 : 1
0000079	32	U013129	실용음악학과	2.29 : 1	1.45 : 1
