대학코드	모집정원	학과코드	계열	학과명	수시 경쟁률	정시 경쟁률
0000048	96	0009052	자연과학계열	의예과	110.43 : 1	2.46 : 1
0000048	53	0010148	자연과학계열	간호학과	29.77 : 1	0 : 1
0000048	16	U000979	자연과학계열	간호학과(인문)	0 : 1	5.88 : 1
0000048	16	U000981	자연과학계열	간호학과(자연)	0 : 1	3.75 : 1
0000049	54	0016057	인문사회계열	신학과	0.42 : 1	0.76 : 1
0000050	174	0016727	인문사회계열	신학부	0.65 : 1	0.62 : 1
0000079	20	0219958	인문사회계열	신학과	2.33 : 1	2.63 : 1
0000079	61	0226210	인문사회계열	G2빅데이터경영학과	4.31 : 1	7.05 : 1
0000079	63	0219925	인문사회계열	사회복지학과	4 : 1	6.33 : 1
0000079	30	0219910	인문사회계열	상담심리학과	4.1 : 1	3.45 : 1
0000079	30	0219959	자연과학계열	식품영양학과	9.25 : 1	4.33 : 1
0000079	44	0219961	자연과학계열	간호학과	13.76 : 1	5.26 : 1
0000079	32	U013129	예체능계열	실용음악학과	2.29 : 1	1.45 : 1
0000052	42	0016241	인문사회계열	국어국문학과	27.12 : 1	5.2 : 1
0000052	65	0015303	인문사회계열	영어영문학과	22.78 : 1	5.57 : 1
0000052	40	0013086	인문사회계열	중어중문학과	30.05 : 1	5.88 : 1
0000052	32	0016155	인문사회계열	철학과	20.68 : 1	7.4 : 1
0000052	32	0018619	인문사회계열	사학과	32.36 : 1	4.88 : 1
0000052	32	0224266	인문사회계열	지리학과	17.73 : 1	10.2 : 1
0000052	36	0205994	인문사회계열	미디어커뮤니케이션학과	56.08 : 1	28 : 1
0000052	32	0015119	인문사회계열	문화콘텐츠학과	44.55 : 1	6.45 : 1
0000052	32	0023326	자연과학계열	수학과	21.82 : 1	6.22 : 1
0000052	59	0216399	자연과학계열	물리학과	14.64 : 1	5.71 : 1
0000058	25	0223821	예체능계열	연기학과	114.58 : 1	30.08 : 1
0000058	25	0232176	예체능계열	애니메이션학과	0 : 1	0 : 1
0000058	43	0223823	예체능계열	미디어영상학과	21.14 : 1	6 : 1
0000058	0	U006197	예체능계열	실용음악학과	0 : 1	0 : 1
0000058	13	U010460	예체능계열	실용음악학과(작곡)	19.75 : 1	7.88 : 1
0000058	12	0230449	예체능계열	실용음악학과	65 : 1	39.83 : 1
0000058	98	U013526	인문사회계열	관광개발경영학과	0 : 1	0 : 1
0000058	43	U013527	인문사회계열	관광문화콘텐츠학과	0 : 1	0 : 1
0000058	87	U013528	인문사회계열	호텔외식경영학부	0 : 1	0 : 1
0000066	57	0019660	인문사회계열	국어국문학과	30.9 : 1	4.13 : 1
0000066	42	0011918	인문사회계열	사학과	27.11 : 1	4.31 : 1
0000066	39	0018700	인문사회계열	철학과	40.3 : 1	4.86 : 1
0000066	44	0223410	인문사회계열	영어영문학과	35.54 : 1	4.94 : 1
0000066	44	0223411	인문사회계열	응용영어통번역학과	28.68 : 1	5.35 : 1
0000066	78	0233491	인문사회계열	자율전공학부	27.74 : 1	4.39 : 1
0000066	51	0017332	인문사회계열	정치외교학과	26.1 : 1	3.94 : 1
0000066	77	0016796	인문사회계열	행정학과	26.79 : 1	4.83 : 1
0000066	43	0019701	인문사회계열	사회학과	25.5 : 1	6 : 1
0000066	99	0011681	인문사회계열	경제학과	21 : 1	5.24 : 1
0000069	347	U003339	인문사회계열	경영대학	12.66 : 1	4 : 1
0000069	58	0010431	인문사회계열	국어국문학과	11.48 : 1	2.68 : 1
0000069	42	0014027	인문사회계열	철학과	13.36 : 1	2.69 : 1
0000069	27	0016538	인문사회계열	한국사학과	12.2 : 1	2.58 : 1
0000069	48	0015847	인문사회계열	사학과	12.81 : 1	3.3 : 1
0000069	80	0011999	인문사회계열	사회학과	14.2 : 1	3.1 : 1
0000069	27	0012841	인문사회계열	한문학과	13.33 : 1	4.83 : 1
0000069	108	0016982	인문사회계열	영어영문학과	11.97 : 1	3.02 : 1
0000069	37	0018647	인문사회계열	독어독문학과	13.09 : 1	4.5 : 1
0000069	41	0017752	인문사회계열	불어불문학과	13.13 : 1	3.83 : 1
0000074	141	0005366	공학계열	전자공학과	10.84 : 1	5.59 : 1
0000074	82	0001117	공학계열	전자통신공학과	7.63 : 1	6.74 : 1
0000074	72	0205241	공학계열	전자융합공학과	7.93 : 1	8.19 : 1
0000074	73	0002453	공학계열	전기공학과	7.33 : 1	6.5 : 1
0000074	75	0230162	공학계열	전자재료공학과	8.61 : 1	8.31 : 1
0000074	70	0003123	공학계열	로봇학부	10.15 : 1	6.03 : 1
0000074	90	0220332	공학계열	컴퓨터정보공학부	11.43 : 1	6.06 : 1
0000074	98	0220221	공학계열	소프트웨어학부	14.16 : 1	6.1 : 1
0000074	93	0220218	공학계열	정보융합학부	10.39 : 1	8.44 : 1
0000074	32	0002128	공학계열	건축학과	15.84 : 1	6.93 : 1
0000078	2	0218694	인문사회계열	한국어문학부	0 : 1	0 : 1
0000078	37	0218695	인문사회계열	국어국문학전공	8.61 : 1	15.08 : 1
0000078	5	0218696	인문사회계열	글로벌한국어전공	8 : 1	8 : 1
0000078	70	0218697	인문사회계열	영어영문학부	8.33 : 1	9.19 : 1
0000078	3	0219162	인문사회계열	중국학부	0 : 1	0 : 1
0000078	41	0219055	인문사회계열	중국어문전공	8.08 : 1	7.29 : 1
0000078	30	0218704	인문사회계열	중국정경전공	7.89 : 1	10.64 : 1
0000078	57	0218684	인문사회계열	한국역사학과	8.59 : 1	9.81 : 1
0000078	72	0014547	인문사회계열	행정학과	11.77 : 1	4.46 : 1
0000078	48	0016989	인문사회계열	정치외교학과	9.48 : 1	5.13 : 1
0000099	632	0229072	인문사회계열	글로벌융합대학	16.6 : 1	5.48 : 1
0000099	39	0229055	인문사회계열	유아교육과	20.63 : 1	3.8 : 1
0000099	337	0229071	공학계열	과학기술대학	14.22 : 1	7.05 : 1
0000099	86	0009676	자연과학계열	약학과(6년제)	31.93 : 1	8.58 : 1
0000099	106	0229070	예체능계열	Art & Design대학	37.76 : 1	16.14 : 1
0000100	63	0011885	인문사회계열	불교학부	2.87 : 1	3.68 : 1
0000100	18	U011608	인문사회계열	문화재학과	5 : 1	6.9 : 1
0000100	66	0114926	인문사회계열	국어국문문예창작학부	51.98 : 1	4.16 : 1
0000100	92	0017719	인문사회계열	영어영문학부	21 : 1	5.67 : 1
0000100	33	0224019	인문사회계열	일본학과	21.56 : 1	6.46 : 1
0000100	44	0018412	인문사회계열	중어중문학과	23.22 : 1	6.06 : 1
0000100	19	0012430	인문사회계열	철학과	24.83 : 1	6 : 1
0000100	33	0015743	인문사회계열	사학과	27.67 : 1	6 : 1
0000100	35	0022663	자연과학계열	수학과	15.2 : 1	5.71 : 1
0000100	39	0021292	자연과학계열	화학과	17.86 : 1	5.47 : 1
0000102	40	0011765	인문사회계열	국어국문학전공	11.09 : 1	7 : 1
0000102	28	0018797	인문사회계열	문예창작전공	13.75 : 1	5.22 : 1
0000102	26	0014454	인문사회계열	국사학전공	7.36 : 1	4.5 : 1
0000102	64	0019659	인문사회계열	영어전공	6.95 : 1	7.15 : 1
0000102	48	U013164	인문사회계열	유러피언스터디즈전공	7.21 : 1	8 : 1
0000102	45	U013165	인문사회계열	일어일본학전공	6.62 : 1	6.06 : 1
0000102	53	U013166	인문사회계열	중어중국학전공	7.28 : 1	5.61 : 1
0000102	32	0011983	인문사회계열	사회복지학전공	9.7 : 1	8.5 : 1
0000102	46	0011009	인문사회계열	아동학전공	8.5 : 1	7.64 : 1
0000102	34	U013167	인문사회계열	문헌정보학전공	8.1 : 1	7.36 : 1
0000111	250	0216083	인문사회계열	어문학부	10.74 : 1	5.46 : 1
0000111	124	0216037	인문사회계열	인문학부	10.17 : 1	5.71 : 1
0000111	37	0016043	인문사회계열	문예창작학과	10.31 : 1	6.24 : 1
0000111	224	U013506	인문사회계열	미래사회인재학부	0 : 1	0 : 1
0000111	74	U013336	인문사회계열	청소년지도・아동학부	0 : 1	0 : 1
0000111	51	0005376	인문사회계열	디지털미디어학과	12.09 : 1	5.07 : 1
0000111	294	0216082	인문사회계열	경영대학	13.04 : 1	5.9 : 1
0000111	79	0012027	인문사회계열	법학과	8.89 : 1	5.32 : 1
0000111	97	U006036	인문사회계열	전공자유학부(인문)	7.08 : 1	7.3 : 1
0000111	51	0225045	인문사회계열	융합전공학부(인문)	7.68 : 1	6.77 : 1
0000116	38	0018821	인문사회계열	신학과	1.45 : 1	0 : 1
0000116	74	0236867	인문사회계열	영어영문학과	6.35 : 1	9 : 1
0000116	42	0232253	인문사회계열	항공관광외국어학부	9.41 : 1	7.88 : 1
0000116	32	0226700	인문사회계열	글로벌한국학과	6.64 : 1	6.88 : 1
0000116	66	0013247	인문사회계열	경영학과	8.63 : 1	9.7 : 1
0000116	38	0013211	인문사회계열	유아교육과	9.54 : 1	9.2 : 1
0000116	73	0226620	자연과학계열	간호학과	10.83 : 1	5.14 : 1
0000116	37	0009478	자연과학계열	약학과	20.44 : 1	43.29 : 1
0000116	44	0009906	자연과학계열	물리치료학과	14.21 : 1	4.92 : 1
0000116	36	0206973	인문사회계열	사회복지학과	9.71 : 1	8 : 1
0000117	35	0230088	인문사회계열	인문콘텐츠학부 역사콘텐츠전공	11.6 : 1	5.47 : 1
0000117	25	0230126	인문사회계열	인문콘텐츠학부 지적재산권전공	8.93 : 1	5.3 : 1
0000117	30	0230087	인문사회계열	인문콘텐츠학부 문헌정보학전공	11.44 : 1	5.75 : 1
0000117	27	0230120	인문사회계열	SW융합학부 한일문화콘텐츠전공	15.94 : 1	4.36 : 1
0000117	48	0220361	인문사회계열	공간환경학부	10.86 : 1	4.75 : 1
0000117	60	0232842	인문사회계열	행정학부	21.3 : 1	5.25 : 1
0000117	32	0014032	인문사회계열	가족복지학과	11.17 : 1	5.67 : 1
0000117	72	0223929	인문사회계열	경제금융학부	14.5 : 1	3.83 : 1
0000117	89	0223930	인문사회계열	경영학부	20.46 : 1	4.34 : 1
0000117	73	0223928	인문사회계열	글로벌경영학과	15.59 : 1	4.31 : 1
0000120	95	U012996	인문사회계열	인문학부	40.42 : 1	4.92 : 1
0000120	10	U012997	인문사회계열	국어국문학과	12.3 : 1	0 : 1
0000120	10	U013002	인문사회계열	사학과	13.8 : 1	0 : 1
0000120	10	U013004	인문사회계열	철학과	11.8 : 1	0 : 1
