I_ID_UNIVLIST	대학코드	대학교명	대학교별명칭	지역코드	지역명	입학정원	취업률	평균 등록금(천원)	schlship	기숙사 수용률	수시 경쟁률	정시 경쟁률	설치 학과 개수	전형 개수
17286	0002748	가야대학교(김해)	가야대학교(김해) [본교]		경남	460	77	6758560.2	3486920.5	32.6	3.99	1.92	10	18
17358	0000063	가천대학교	가천대학교 [본교]		경기	4,131	67.2	8249738.7	3293557.8	11.5	18.75	7.43	66	25
17430	0000072	가톨릭관동대학교	가톨릭관동대학교 [본교]		강원	1,644	56.3	7165673.8	3378575.4	34.4	3.13	1.38	17	27
17502	0000215	가톨릭꽃동네대학교	가톨릭꽃동네대학교 [본교]		충북	108	75	7152463	4832735.1	46	4.68	2.84	2	15
17574	0000046	가톨릭대학교	가톨릭대학교 [본교]		경기	1,574	61.3	6964630.1	3210221.8	16.7	14.96	6.14	51	22
17646	0000048	가톨릭대학교	가톨릭대학교 [제2캠퍼스]		서울	173	88.2	9262984.1	2757561.7	5.2	73.2	3.59	4	8
17718	0000049	가톨릭대학교	가톨릭대학교 [제3캠퍼스]		서울	50	100	6122000	6480386	103.7	0.42	0.76	1	9
17790	0000050	감리교신학대학교	감리교신학대학교 [본교]		서울	192	100	6267300	3893935.9	22.6	0.65	0.62	1	19
17862	0000051	강남대학교	강남대학교 [본교]		경기	1,491	60	7450968.5	3401188.9	13.9	7.01	6.27	18	22
17934	0000001	강릉원주대학교	강릉원주대학교 [본교]		강원	1,195	55.7	4253234.2	2982597.3	26.4	4.17	3.44	38	26
18006	0000002	강릉원주대학교	강릉원주대학교 [제2캠퍼스]		강원	485	64.3	4290340	3099595.4	29.3	5.2	4.42	11	20
18078	0000079	강서대학교	강서대학교 [본교]		서울	277	67	7061429.6	3512466	5.8	5.74	4.58	7	16
18150	0000003	강원대학교	강원대학교 [본교]		강원	3,156	55.5	4058840.5	2690408.2	28.4	8.3	4.85	68	23
18222	0000004	강원대학교	강원대학교 [제2캠퍼스]		강원	1,369	65.4	4246520.3	3121261.5	44.8	5.15	3.18	28	22
18294	0000052	건국대학교	건국대학교 [본교]		서울	3,000	65.8	8275197.2	3195752.2	18.9	27.17	7.17	61	25
18366	0000053	건국대학교(글로컬)	건국대학교(글로컬) [분교]		충북	1,569	63.1	7985994.5	3782385.4	31.8	9.55	7.57	29	28
18438	0000054	건양대학교	건양대학교 [본교]		충남	757	68.4	6363413.5	3823433.1	35.4	4.8	1.6	24	21
18510	0000055	건양대학교	건양대학교 [제2캠퍼스]		대전	866	80.9	7200354	3550807	31.4	6.64	4.19	16	21
18582	0000056	경기대학교	경기대학교 [본교]		경기	2,598	60.7	7305505.8	3553668.4	17.9	10.74	6.8	32	25
18654	0000058	경기대학교	경기대학교 [제2캠퍼스]		서울	328	63.4	7047294.2	3591135.8	0	21.97	10.3	9	19
18726	0000059	경남대학교	경남대학교 [본교]		경남	2,060	56.6	6500790	3275875	14.7	3.9	1.46	44	15
18798	0000060	경동대학교	경동대학교 [본교]		강원	1	77.4	6577644.1	3489198.9	47.4	0	1	1	14
18870	0002574	경동대학교	경동대학교 [제3캠퍼스]		강원	935	87.6	8219617.4	3058777.1	25.5	7.05	4.11	12	16
18942	0002744	경동대학교	경동대학교 [제4캠퍼스]		경기	619	78.8	7461482	3021008.1	17.9	7.09	6.4	16	18
19014	0000005	경북대학교	경북대학교 [본교]		대구	4,659	57.8	4499643.6	2760994.4	27.5	13.74	4.53	105	30
19086	0003118	경상국립대학교	경상국립대학교 [본교]		경남	4,260	0	0	0	0	6.18	3.95	110	31
19158	0000062	경성대학교	경성대학교 [본교]		부산	2,765	58.5	6553705.6	3553493.2	11.3	6.5	3.52	61	22
19230	0000244	경운대학교	경운대학교 [본교]		경북	1,184	65.9	7671095.9	4358833	33.9	5.73	0.67	22	17
19302	0000256	경인교육대학교	경인교육대학교 [본교]		인천	598	80.6	3189000	2307816.7	34.6	5.33	1.87	1	14
19374	0000064	경일대학교	경일대학교 [본교]		경북	1,551	62.6	7376747.6	3813036	23.1	5.39	1.41	41	23
19446	0000065	경주대학교	경주대학교 [본교]		경북	762	57.4	7004737.5	3466509.9	53.6	1.02	0.17	27	10
19518	0000066	경희대학교	경희대학교 [본교]		서울	4,830	67.4	7935660.2	3074281	17.1	24.57	5.13	94	33
