I_ID_UNIVLIST	대학코드	대학교명	대학교별명칭	지역코드	지역명	입학정원	취업률	평균 등록금(천원)	schlship	기숙사 수용률	수시 경쟁률	정시 경쟁률	설치 학과 개수	전형 개수
17646	0000048	가톨릭대학교	가톨릭대학교 [제2캠퍼스]		서울	173	88.2	9262984.1	2757561.7	5.2	73.2	3.59	4	8
17718	0000049	가톨릭대학교	가톨릭대학교 [제3캠퍼스]		서울	50	100	6122000	6480386	103.7	0.42	0.76	1	9
17790	0000050	감리교신학대학교	감리교신학대학교 [본교]		서울	192	100	6267300	3893935.9	22.6	0.65	0.62	1	19
18078	0000079	강서대학교	강서대학교 [본교]		서울	277	67	7061429.6	3512466	5.8	5.74	4.58	7	16
18294	0000052	건국대학교	건국대학교 [본교]		서울	3,000	65.8	8275197.2	3195752.2	18.9	27.17	7.17	61	25
18654	0000058	경기대학교	경기대학교 [제2캠퍼스]		서울	328	63.4	7047294.2	3591135.8	0	21.97	10.3	9	19
19518	0000066	경희대학교	경희대학교 [본교]		서울	4,830	67.4	7935660.2	3074281	17.1	24.57	5.13	94	33
19662	0000069	고려대학교	고려대학교 [본교]		서울	3,884	73.3	8268998	3270239.5	12.2	14.68	3.7	69	24
20094	0000074	광운대학교	광운대학교 [본교]		서울	1,684	60.6	7830919.5	3005197.5	12	12.43	6.9	29	21
20454	0000078	국민대학교	국민대학교 [본교]		서울	2,966	67	7923884.8	3419381	11.5	10.32	6.02	79	27
21966	0000099	덕성여자대학교	덕성여자대학교 [본교]		서울	1,120	58.9	7072813.4	3012328.3	13.1	18.55	7.18	5	23
22038	0000100	동국대학교	동국대학교 [본교]		서울	2,778	69	7939150.6	3304552.4	11.5	24.66	5.96	61	33
22182	0000102	동덕여자대학교	동덕여자대학교 [본교]		서울	1,577	66.6	7374035.6	3226655.9	10.4	12.85	8.96	42	20
22830	0000111	명지대학교	명지대학교 [제2캠퍼스]		서울	1,263	59.8	6950357.9	3229072.9	11.3	10.72	6	19	30
23766	0000116	삼육대학교	삼육대학교 [본교]		서울	1,137	64.5	7748262.7	3953894.6	27	8.78	9.87	24	28
23838	0000117	상명대학교	상명대학교 [본교]		서울	1,379	62.1	7696921.1	3403334.7	8.5	13.81	5.32	33	17
24054	0000120	서강대학교	서강대학교 [본교]		서울	1,632	73.7	7944545.7	2677445.6	12.8	28.84	5.25	29	20
24126	0000121	서경대학교	서경대학교 [본교]		서울	1,309	69	7928490.1	3368305.8	10.7	21.54	10.1	36	25
24198	0000036	서울과학기술대학교	서울과학기술대학교 [본교]		서울	2,148	66.2	5445457.1	3185386	22.6	13.5	4.82	47	20
24270	0000255	서울교육대학교	서울교육대학교 [본교]		서울	355	48.1	3088000	1797022.1	29.4	4.58	2.1	1	11
24342	0000098	서울기독대학교	서울기독대학교 [본교]		서울	136	50	7244470.6	3530379.4	16.2	0.94	1.03	8	19
24414	0000019	서울대학교	서울대학교 [본교]		서울	3,278	70.9	6011819.2	3287549.6	25.3	6.23	4.12	87	13
24486	0000040	서울시립대학교	서울시립대학교 [본교]		서울	1,727	70	2392084.4	1770081.3	11.6	17.38	4.38	47	17
24630	0000126	서울여자대학교	서울여자대학교 [본교]		서울	1,670	59.6	7524060.5	3562074.2	12.1	15.66	6.95	34	20
24774	0000205	서울한영대학교	서울한영대학교 [본교]		서울	180	58.7	6929700	3985245.2	14.5	4.01	2.21	6	13
25062	0000132	성공회대학교	성공회대학교 [본교]		서울	502	56.4	7047624.7	3952998.9	20.8	4.66	5.23	4	17
