대학코드	모집정원	학과코드	계열	학과명	수시 경쟁률	정시 경쟁률
0002748	27	U013490	인문사회계열	사회복지상담학과	0 : 1	0 : 1
0002748	18	0215540	인문사회계열	유아교육과	3.88 : 1	1.3 : 1
0002748	27	0229119	인문사회계열	특수교육과	1.52 : 1	0.57 : 1
0002748	26	0208651	자연과학계열	작업치료학과	2.93 : 1	0.73 : 1
0002748	46	0208652	자연과학계열	방사선학과	4.19 : 1	3 : 1
0002748	187	0208655	자연과학계열	간호학과	5.61 : 1	8.39 : 1
0002748	56	0208666	자연과학계열	물리치료학과	6.82 : 1	7.83 : 1
0002748	55	0236914	자연과학계열	스포츠재활복지학부	0 : 1	0 : 1
0002748	20	U013491	인문사회계열	커리어플러스학부 사회복지상담전공	0 : 1	0 : 1
0002748	30	U013492	인문사회계열	커리어플러스학부 부동산금융재테크전공,헬스케어전공	0 : 1	0 : 1
0000063	310	0231807	인문사회계열	경영학부	19.18 : 1	9.52 : 1
0000063	50	0211931	자연과학계열	금융수학과	9.82 : 1	4.88 : 1
0000063	68	0221317	인문사회계열	미디어커뮤니케이션학과	28.76 : 1	8.68 : 1
0000063	57	0206486	인문사회계열	관광경영학과	18.68 : 1	9.56 : 1
0000063	116	0206839	인문사회계열	경제학과	14.87 : 1	8.37 : 1
0000063	55	U012699	인문사회계열	의료산업경영학과	13 : 1	10.67 : 1
0000063	53	0206484	인문사회계열	응용통계학과	11.82 : 1	5.88 : 1
0000063	58	0206344	인문사회계열	사회복지학과	22.46 : 1	8.47 : 1
0000063	63	0206343	인문사회계열	유아교육학과	19.95 : 1	6.84 : 1
0000063	56	0228423	인문사회계열	심리학과	21.03 : 1	8.89 : 1
0000072	55	U013641	의학계열	의예과	17.62 : 1	6.3 : 1
0000072	118	0009383	자연과학계열	간호학과	6.9 : 1	4.33 : 1
0000072	40	0223556	자연과학계열	임상병리학과	6.91 : 1	5.9 : 1
0000072	41	0226469	자연과학계열	치위생학과	8.97 : 1	5.31 : 1
0000072	30	0013131	인문사회계열	국어교육과	3.23 : 1	3.6 : 1
0000072	30	0012913	인문사회계열	지리교육과	3.27 : 1	3.83 : 1
0000072	30	0012169	인문사회계열	영어교육과	2.04 : 1	2.2 : 1
0000072	30	0216900	인문사회계열	역사교육과	5.48 : 1	3.63 : 1
0000072	30	0020815	자연과학계열	수학교육과	1.44 : 1	1.26 : 1
0000072	30	0002647	자연과학계열	컴퓨터교육과	2.37 : 1	1 : 1
0000215	79	0009957	자연과학계열	간호학과	5.14 : 1	4 : 1
0000215	34	0225618	인문사회계열	사회복지·상담심리학부	4.29 : 1	0.2 : 1
0000046	38	0229524	인문사회계열	인문계열	0 : 1	6.34 : 1
0000046	22	0229547	인문사회계열	국어국문학과	14.64 : 1	0 : 1
0000046	22	0229546	인문사회계열	철학과	14.64 : 1	0 : 1
0000046	22	0229545	인문사회계열	국사학과	10.73 : 1	0 : 1
0000046	64	0229523	인문사회계열	어문계열	0 : 1	6.26 : 1
0000046	40	0222573	인문사회계열	영어영문학부	16.13 : 1	0 : 1
0000046	28	0229544	인문사회계열	중국언어문화학과	14.89 : 1	0 : 1
0000046	28	0229543	인문사회계열	일어일본문화학과	17.29 : 1	0 : 1
0000046	16	0011260	인문사회계열	프랑스어문화학과	11 : 1	0 : 1
0000046	51	0229522	인문사회계열	사회과학계열	0 : 1	7.15 : 1
0000048	96	0009052	자연과학계열	의예과	110.43 : 1	2.46 : 1
0000048	53	0010148	자연과학계열	간호학과	29.77 : 1	0 : 1
0000048	16	U000979	자연과학계열	간호학과(인문)	0 : 1	5.88 : 1
0000048	16	U000981	자연과학계열	간호학과(자연)	0 : 1	3.75 : 1
0000049	54	0016057	인문사회계열	신학과	0.42 : 1	0.76 : 1
0000050	174	0016727	인문사회계열	신학부	0.65 : 1	0.62 : 1
0000051	97	0220627	인문사회계열	사회복지학부	12.42 : 1	6.3 : 1
0000051	54	0220626	인문사회계열	사회복지학부 (야)	3.6 : 1	5.56 : 1
0000051	53	0220625	인문사회계열	실버산업학과	5.52 : 1	5.92 : 1
0000051	72	U012875	예체능계열	유니버설아트디자인학과	7.98 : 1	12.54 : 1
0000051	43	U012876	예체능계열	스포츠복지학과	18.21 : 1	12.75 : 1
0000051	39	0234539	예체능계열	음악학과	3.6 : 1	2.29 : 1
0000051	137	0220614	인문사회계열	글로벌경영학부	11.7 : 1	8.59 : 1
0000051	70	0220615	인문사회계열	글로벌경영학부 (야)	3 : 1	5.65 : 1
0000051	157	0233432	인문사회계열	정경학부	5.02 : 1	6.58 : 1
0000051	110	0234795	인문사회계열	정경학부 (야)	2.48 : 1	4.52 : 1
0000001	29	0017194	인문사회계열	국어국문학과	3.67 : 1	2.6 : 1
0000001	32	0018009	인문사회계열	영어영문학과	2.86 : 1	2.8 : 1
0000001	26	0012567	인문사회계열	중어중문학과	2.86 : 1	2.67 : 1
0000001	26	0018773	인문사회계열	일본학과	3.6 : 1	3.5 : 1
0000001	22	0012431	인문사회계열	철학과	2.62 : 1	2.58 : 1
0000001	21	0017104	인문사회계열	사학과	5.59 : 1	4.43 : 1
0000001	30	0015583	인문사회계열	경영학과	5.86 : 1	6.4 : 1
0000001	34	0225362	인문사회계열	회계학과	2.76 : 1	6.67 : 1
0000001	43	0013862	인문사회계열	관광경영학과	6.17 : 1	2.5 : 1
0000001	23	0017388	인문사회계열	경제학과	4.88 : 1	4.67 : 1
0000002	59	0208519	인문사회계열	유아교육과	5.62 : 1	4.25 : 1
0000002	76	0208518	자연과학계열	간호학과	9.89 : 1	5.19 : 1
0000002	33	0219005	인문사회계열	사회복지학과	7.17 : 1	2.4 : 1
0000002	31	0207977	인문사회계열	다문화학과	3.38 : 1	4.67 : 1
0000002	73	0005475	공학계열	컴퓨터공학과	5.25 : 1	8.25 : 1
0000002	34	0000938	공학계열	멀티미디어공학과	4.67 : 1	4.67 : 1
0000002	59	0230216	공학계열	기계공학과	3.36 : 1	3.4 : 1
0000002	30	0230217	공학계열	자동차공학과	4.39 : 1	3 : 1
0000002	32	0001010	공학계열	전기공학과	4.36 : 1	5.43 : 1
0000002	28	0210268	공학계열	정보통신공학과	4.32 : 1	2.17 : 1
0000079	20	0219958	인문사회계열	신학과	2.33 : 1	2.63 : 1
0000079	61	0226210	인문사회계열	G2빅데이터경영학과	4.31 : 1	7.05 : 1
0000079	63	0219925	인문사회계열	사회복지학과	4 : 1	6.33 : 1
0000079	30	0219910	인문사회계열	상담심리학과	4.1 : 1	3.45 : 1
0000079	30	0219959	자연과학계열	식품영양학과	9.25 : 1	4.33 : 1
0000079	44	0219961	자연과학계열	간호학과	13.76 : 1	5.26 : 1
0000079	32	U013129	예체능계열	실용음악학과	2.29 : 1	1.45 : 1
0000003	30	U004683	인문사회계열	간호학과(인문)	14.4 : 1	4.7 : 1
0000003	55	U004684	자연과학계열	간호학과(자연)	12.22 : 1	3.58 : 1
0000003	218	0214734	인문사회계열	경영·회계학부	10.48 : 1	5.26 : 1
0000003	82	0224707	인문사회계열	경제·정보통계학부	7.35 : 1	5 : 1
0000003	37	0018841	인문사회계열	관광경영학과	11.88 : 1	8.86 : 1
0000003	59	0014712	인문사회계열	국제무역학과	13.54 : 1	6.36 : 1
0000003	22	U013519	자연과학계열	스마트팜농산업학과	1.75 : 1	0 : 1
0000003	59	0022929	자연과학계열	바이오산업공학부	6.23 : 1	4.64 : 1
0000003	52	0214732	자연과학계열	생물자원과학부	6.43 : 1	6 : 1
0000003	65	0224993	자연과학계열	원예·농업자원경제학부	7.43 : 1	6.89 : 1
0000004	79	0225113	공학계열	건설융합학부	4.2 : 1	2.56 : 1
0000004	100	0227570	공학계열	기계시스템공학부	3.65 : 1	2.79 : 1
0000004	100	0235123	공학계열	AI소프트웨어학과	4.59 : 1	4.82 : 1
0000004	54	0005220	공학계열	신소재공학과	2.93 : 1	2.82 : 1
0000004	57	U013466	공학계열	에너지자원화학공학과	2.41 : 1	2.45 : 1
0000004	72	0225048	공학계열	전기제어계측공학부	3.39 : 1	2.77 : 1
0000004	64	U013468	공학계열	전자정보통신공학과	3.42 : 1	2.46 : 1
0000004	40	0215843	공학계열	지구환경시스템공학과	3.18 : 1	2.27 : 1
0000004	124	0226304	인문사회계열	글로벌인재학부	3.69 : 1	3.6 : 1
0000004	29	0226360	예체능계열	레저스포츠학과	6.08 : 1	3.55 : 1
0000052	42	0016241	인문사회계열	국어국문학과	27.12 : 1	5.2 : 1
0000052	65	0015303	인문사회계열	영어영문학과	22.78 : 1	5.57 : 1
0000052	40	0013086	인문사회계열	중어중문학과	30.05 : 1	5.88 : 1
0000052	32	0016155	인문사회계열	철학과	20.68 : 1	7.4 : 1
0000052	32	0018619	인문사회계열	사학과	32.36 : 1	4.88 : 1
0000052	32	0224266	인문사회계열	지리학과	17.73 : 1	10.2 : 1
0000052	36	0205994	인문사회계열	미디어커뮤니케이션학과	56.08 : 1	28 : 1
0000052	32	0015119	인문사회계열	문화콘텐츠학과	44.55 : 1	6.45 : 1
0000052	32	0023326	자연과학계열	수학과	21.82 : 1	6.22 : 1
0000052	59	0216399	자연과학계열	물리학과	14.64 : 1	5.71 : 1
0000053	42	0231338	예체능계열	산업디자인학과	19.96 : 1	8.6 : 1
0000053	42	0116952	예체능계열	실내디자인학과	20.32 : 1	8.25 : 1
0000053	42	0231440	예체능계열	패션디자인학과	18.8 : 1	8.73 : 1
0000053	77	0231375	예체능계열	시각영상디자인학과	24.84 : 1	10 : 1
0000053	42	0231434	예체능계열	미디어콘텐츠학과	21.92 : 1	12.8 : 1
0000053	72	0223166	예체능계열	조형예술학과	10.64 : 1	10.75 : 1
0000053	88	0028426	인문사회계열	경영학과	7.29 : 1	8.5 : 1
0000053	82	0231430	인문사회계열	경제통상학과	5.9 : 1	5.83 : 1
0000053	54	0223164	인문사회계열	경찰학과	9.88 : 1	5.36 : 1
0000053	38	0233555	공학계열	소방방재융합학과	11.52 : 1	6.4 : 1
0000054	22	U003459	인문사회계열	융합디자인학과	3.3 : 1	6 : 1
0000054	26	0221128	자연과학계열	임상의약학과	3.48 : 1	4 : 1
0000054	34	0221150	자연과학계열	의약바이오학과	5.39 : 1	3.07 : 1
0000054	49	U003462	공학계열	글로벌의료뷰티학과	5.06 : 1	0.5 : 1
0000054	36	0221156	공학계열	기업소프트웨어학부	2.43 : 1	1.38 : 1
0000054	38	0221155	공학계열	재난안전소방학과	4.31 : 1	3 : 1
0000054	46	0236661	공학계열	사이버보안학과	0 : 1	0 : 1
0000054	41	U013469	공학계열	드론기계학과	0 : 1	0 : 1
0000054	21	0221151	공학계열	융합IT학과	3.24 : 1	0.08 : 1
0000054	50	0204656	인문사회계열	심리상담치료학과	5.6 : 1	3.83 : 1
0000055	51	0009746	의학계열	의학과	18.2 : 1	7.29 : 1
0000055	162	0212724	자연과학계열	간호학과	7.05 : 1	4.05 : 1
0000055	51	0009296	자연과학계열	작업치료학과	8.71 : 1	5.33 : 1
0000055	60	0212725	인문사회계열	병원경영학과	6.16 : 1	4.5 : 1
0000055	40	0009680	자연과학계열	안경광학과	4.13 : 1	5 : 1
0000055	54	0009240	자연과학계열	임상병리학과	7.49 : 1	3.69 : 1
0000055	49	0009313	자연과학계열	방사선학과	9.14 : 1	6.2 : 1
0000055	51	0009093	자연과학계열	치위생학과	8.45 : 1	5 : 1
0000055	53	0009008	자연과학계열	물리치료학과	11.29 : 1	4.36 : 1
0000055	42	0009658	자연과학계열	응급구조학과	7.24 : 1	4 : 1
0000056	64	0016363	인문사회계열	국어국문학과	9.49 : 1	8.17 : 1
0000056	77	0012195	인문사회계열	영어영문학과	10.29 : 1	6.92 : 1
0000056	37	0019719	인문사회계열	사학과	12.65 : 1	9.45 : 1
0000056	33	0012116	인문사회계열	문헌정보학과	12.55 : 1	13.55 : 1
0000056	165	0229951	인문사회계열	글로벌어문학부	8.87 : 1	7.17 : 1
0000056	19	0216275	인문사회계열	유아교육과	15.44 : 1	7.4 : 1
0000056	33	0229958	예체능계열	입체조형학과	12.5 : 1	20.94 : 1
0000056	65	0229946	예체능계열	디자인비즈학부	17.98 : 1	0 : 1
0000056	78	0232134	예체능계열	FineArts학부	5.38 : 1	7.06 : 1
0000056	30	0229957	예체능계열	체육학과	3.86 : 1	3.28 : 1
0000058	25	0223821	예체능계열	연기학과	114.58 : 1	30.08 : 1
0000058	25	0232176	예체능계열	애니메이션학과	0 : 1	0 : 1
0000058	43	0223823	예체능계열	미디어영상학과	21.14 : 1	6 : 1
0000058	0	U006197	예체능계열	실용음악학과	0 : 1	0 : 1
0000058	13	U010460	예체능계열	실용음악학과(작곡)	19.75 : 1	7.88 : 1
0000058	12	0230449	예체능계열	실용음악학과	65 : 1	39.83 : 1
0000058	98	U013526	인문사회계열	관광개발경영학과	0 : 1	0 : 1
0000058	43	U013527	인문사회계열	관광문화콘텐츠학과	0 : 1	0 : 1
0000058	87	U013528	인문사회계열	호텔외식경영학부	0 : 1	0 : 1
0000059	30	0015642	인문사회계열	역사학과	2.79 : 1	1.15 : 1
0000059	41	0016934	인문사회계열	문화콘텐츠학과	3.72 : 1	1.8 : 1
0000059	71	0010655	인문사회계열	사회복지학과	6.61 : 1	2.86 : 1
0000059	43	0016235	인문사회계열	심리학과	5.05 : 1	2.57 : 1
0000059	30	0236334	자연과학계열	제약공학과	2.1 : 1	0.96 : 1
0000059	43	0215855	자연과학계열	식품영양학과	4.16 : 1	1.5 : 1
0000059	64	0216877	예체능계열	스포츠과학과	4.26 : 1	2.75 : 1
0000059	135	0216879	자연과학계열	간호학과	9.77 : 1	6.67 : 1
0000059	51	0216878	자연과학계열	물리치료학과	11.1 : 1	5.43 : 1
0000059	23	0232646	자연과학계열	작업치료학과	12.33 : 1	4.33 : 1
0000060	2	0231847	인문사회계열	국제학부	0 : 1	1 : 1
0002574	355	0224685	자연과학계열	간호학과	8.13 : 1	8.06 : 1
0002574	161	0224674	자연과학계열	치위생학과	6.07 : 1	4.11 : 1
0002574	72	0224673	자연과학계열	작업치료학과	5.67 : 1	3.55 : 1
0002574	75	0224672	자연과학계열	물리치료학과	12.16 : 1	17.57 : 1
