대학교별명칭	계열	학과명	전형방법	전형명칭	평가방법	내년 모집인원	금년 모집인원	충원인원	충원률	경쟁률	70% Cut 수능 점수	평균 백분위 70% Cut	영어 등급 Cut	학과별 모집정원	입학정원	취업률	평균 등록금(천원)	기숙사 수용률	대학코드	지역명	학과코드
가톨릭대학교 [본교]	공학계열	ICT공학계열	수능위주	수능(일반전형)	수능:100	62	66	70	106.06060606060606	6.77	691.32	76.XX	3.0X	62	1,574	61.3	6964630.1	16.7	0000046	경기	0229510
가톨릭대학교 [본교]	공학계열	데이터사이언스학과	수능위주	수능(일반전형)	수능:100	14	12	23	191.66666666666669	6.55	693.37	77.XX	3.0X	39	1,574	61.3	6964630.1	16.7	0000046	경기	0237586
가톨릭대학교 [본교]	공학계열	바이오융합공학계열	수능위주	수능(일반전형)	수능:100	51	53	78	147.16981132075472	6.53	690.32	76.XX	3.0X	51	1,574	61.3	6964630.1	16.7	0000046	경기	0229512
가톨릭대학교 [본교]	공학계열	인공지능학과	수능위주	수능(일반전형)	수능:100	15	12	21	175	8.27	698.12	79.XX	3.0X	43	1,574	61.3	6964630.1	16.7	0000046	경기	0237513
가톨릭대학교 [본교]	인문사회계열	경영계열	수능위주	수능(일반전형)	수능:100	41	43	36	83.72093023255815	6.83	670.84	77.XX	3.0X	41	1,574	61.3	6964630.1	16.7	0000046	경기	0229521
가톨릭대학교 [본교]	인문사회계열	사회과학계열	수능위주	수능(일반전형)	수능:100	51	52	56	107.6923076923077	7.29	670.36	76.XX	3.0X	51	1,574	61.3	6964630.1	16.7	0000046	경기	0229522
가톨릭대학교 [본교]	인문사회계열	어문계열	수능위주	수능(일반전형)	수능:100	64	66	55	83.33333333333334	6.35	661.44	73.XX	3.0X	64	1,574	61.3	6964630.1	16.7	0000046	경기	0229523
가톨릭대학교 [본교]	인문사회계열	인문계열	수능위주	수능(일반전형)	수능:100	38	41	30	73.17073170731707	6.84	663.24	74.XX	3.0X	38	1,574	61.3	6964630.1	16.7	0000046	경기	0229524
가톨릭대학교 [본교]	인문사회계열	특수교육과	수능위주	수능(일반전형)	수능:100	12	12	10	83.33333333333334	3.08	670.92	76.XX	2.0X	30	1,574	61.3	6964630.1	16.7	0000046	경기	0019534
가톨릭대학교 [본교]	자연과학계열	생활과학계열	수능위주	수능(일반전형)	수능:100	52	53	25	47.16981132075472	6.69	679.81	71.XX	3.0X	52	1,574	61.3	6964630.1	16.7	0000046	경기	0229514
가톨릭대학교 [본교]	자연과학계열	약학과	수능위주	수능(일반전형)	수능:100	10	12	13	108.33333333333333	5.83	700.58	95.XX	3.0X	35	1,574	61.3	6964630.1	16.7	0000046	경기	0009228
가톨릭대학교 [본교]	자연과학계열	의생명과학과	수능위주	수능(일반전형)	수능:100	16	17	18	105.88235294117648	4.65	710.82	83.XX	3.0X	44	1,574	61.3	6964630.1	16.7	0000046	경기	0231427
가톨릭대학교 [본교]	자연과학계열	자연과학계열	수능위주	수능(일반전형)	수능:100	39	41	32	78.04878048780488	7	683.54	73.XX	3.0X	39	1,574	61.3	6964630.1	16.7	0000046	경기	0229520
가톨릭대학교 [제2캠퍼스]	자연과학계열	간호학과(인문)	수능위주	수능(일반전형)	수능:100	16	17	12	70.58823529411765	6.25	657.5	88.XX	2.0X	16	173	88.2	9262984.1	5.2	0000048	서울	U000979
가톨릭대학교 [제2캠퍼스]	자연과학계열	간호학과(자연)	수능위주	수능(일반전형)	수능:100	16	16	6	37.5	3.75	657.04	88.XX	2.0X	16	173	88.2	9262984.1	5.2	0000048	서울	U000981
가톨릭대학교 [제2캠퍼스]	자연과학계열	의예과	수능위주	수능(일반전형)	수능:100	37	37	14	37.83783783783784	2.46	732	99.XX	2.0X	96	173	88.2	9262984.1	5.2	0000048	서울	0009052
강남대학교 [본교]	공학계열	ICT융합공학부	수능위주	수능(기초생활수급자, 차상위계층전형, 한부모가족 지원대상자전형)	수능:100	0	6	3	50	2	535	33.XX	3.0X	173	1,491	60	7450968.5	13.9	0000051	경기	0236206
강남대학교 [본교]	공학계열	ICT융합공학부	수능위주	수능(일반학생전형)	수능:100	85	82	74	90.2439024390244	5.42	781.5	65.XX	4.0X	173	1,491	60	7450968.5	13.9	0000051	경기	0236206
강남대학교 [본교]	공학계열	부동산건설학부	수능위주	수능(기초생활수급자, 차상위계층전형, 한부모가족 지원대상자전형)	수능:100	0	6	4	66.66666666666666	1.83	371	31.XX	5.0X	131	1,491	60	7450968.5	13.9	0000051	경기	0235742
강남대학교 [본교]	공학계열	부동산건설학부	수능위주	수능(일반학생전형)	수능:100	42	42	22	52.38095238095239	5.07	742	58.XX	3.0X	131	1,491	60	7450968.5	13.9	0000051	경기	0235742
강남대학교 [본교]	공학계열	인공지능융합공학부	수능위주	수능(기초생활수급자, 차상위계층전형, 한부모가족 지원대상자전형)	수능:100	0	0	1		0	437.5	57.XX	4.0X	167	1,491	60	7450968.5	13.9	0000051	경기	0236207
강남대학교 [본교]	공학계열	인공지능융합공학부	수능위주	수능(기초생활수급자, 차상위계층전형, 한부모가족 지원대상자전형)	수능:100	0	0	1		0	437.5	57.XX	4.0X	167	1,491	60	7450968.5	13.9	0000051	경기	0236207
강남대학교 [본교]	공학계열	인공지능융합공학부	수능위주	수능(일반학생전형)	수능:100	87	0	37		0	771.5	66.XX	4.0X	167	1,491	60	7450968.5	13.9	0000051	경기	0236207
강남대학교 [본교]	공학계열	인공지능융합공학부	수능위주	수능(일반학생전형)	수능:100	87	0	37		0	771.5	66.XX	4.0X	167	1,491	60	7450968.5	13.9	0000051	경기	0236207
강남대학교 [본교]	예체능계열	스포츠복지학과	실기/실적위주	실기/실적위주(일반학생전형)	수능:30 실기:70	14	16	15	93.75	12.75	180.3	40.XX	4.0X	43	1,491	60	7450968.5	13.9	0000051	경기	U012876
강남대학교 [본교]	예체능계열	유니버설아트디자인학과	실기/실적위주	실기/실적위주(일반학생전형)	수능:40 실기:60	20	24	10	41.66666666666667	13.68	258.8	45.XX	4.0X	72	1,491	60	7450968.5	13.9	0000051	경기	U012875
