대학교별명칭	계열	학과명	전형방법	전형명칭	평가방법	내년 모집인원	금년 모집인원	충원인원	충원률	경쟁률	50%등급컷	70%점수컷	70%등급컷	학과별 모집정원	입학정원	취업률	평균 등록금(천원)	기숙사 수용률	대학코드	지역명	학과코드
가천대학교 [본교]	공학계열	AI・소프트웨어학부(소프트웨어전공)	학생부위주(교과)	학생부교과(지역균형)	1단계:600 학생부:100\n2단계:100 면접:50 1단계성적:50	10	8	12	150	7.5		593.1	3.3	100	4,131	67.2	8249738.7	11.5	0000063	경기	0228422
가천대학교 [본교]	공학계열	AI・소프트웨어학부(소프트웨어전공)	학생부위주(교과)	학생부교과(학생부우수자)	학생부:100	10	8	25	312.5	13.63		992.5	2.5	100	4,131	67.2	8249738.7	11.5	0000063	경기	0228422
가천대학교 [본교]	공학계열	AI・소프트웨어학부(소프트웨어전공)	학생부위주(종합)	학생부종합(가천AI·SW)	1단계:400 서류:100\n2단계:100 면접:50 1단계성적:50	20	16	30	187.5	13.25				100	4,131	67.2	8249738.7	11.5	0000063	경기	0228422
가천대학교 [본교]	공학계열	AI・소프트웨어학부(소프트웨어전공)	학생부위주(종합)	학생부종합(사회기여자)	1단계:400 서류:100\n2단계:100 면접:50 1단계성적:50	3	3	2	66.66666666666666	7.33				100	4,131	67.2	8249738.7	11.5	0000063	경기	0228422
가천대학교 [본교]	공학계열	AI・소프트웨어학부(소프트웨어전공)	논술위주	논술	학생부:40 논술:60	20	20	8	40	31.05		592.2	3.6	100	4,131	67.2	8249738.7	11.5	0000063	경기	0228422
가천대학교 [본교]	공학계열	AI・소프트웨어학부(인공지능전공)	학생부위주(교과)	학생부교과(지역균형)	1단계:600 학생부:100\n2단계:100 면접:50 1단계성적:50	15	13	10	76.92307692307693	6.92		591.9	3.7	151	4,131	67.2	8249738.7	11.5	0000063	경기	0228421
가천대학교 [본교]	공학계열	AI・소프트웨어학부(인공지능전공)	학생부위주(교과)	학생부교과(학생부우수자)	학생부:100	15	12	27	225	16		992.5	2.5	151	4,131	67.2	8249738.7	11.5	0000063	경기	0228421
가천대학교 [본교]	공학계열	AI・소프트웨어학부(인공지능전공)	학생부위주(종합)	학생부종합(가천AI·SW)	1단계:400 서류:100\n2단계:100 면접:50 1단계성적:50	30	26	18	69.23076923076923	9.12				151	4,131	67.2	8249738.7	11.5	0000063	경기	0228421
가천대학교 [본교]	공학계열	AI・소프트웨어학부(인공지능전공)	학생부위주(종합)	학생부종합(농어촌(종합))	1단계:400 서류:100\n2단계:100 면접:50 1단계성적:50	1	1	2	200	7				151	4,131	67.2	8249738.7	11.5	0000063	경기	0228421
가천대학교 [본교]	공학계열	AI・소프트웨어학부(인공지능전공)	학생부위주(종합)	학생부종합(사회기여자)	1단계:400 서류:100\n2단계:100 면접:50 1단계성적:50	3	3	2	66.66666666666666	9				151	4,131	67.2	8249738.7	11.5	0000063	경기	0228421
